osm_type,osm_id,name,category,place,street,housenumber,postcode,phone,phone_alt,website,email,facebook,instagram,opening_hours,lat,lon
node,9713356980,Препород,accountant,,,,,+38118520320,,https://www.preporod.co.rs,preporodnis@gmail.com,,,,43.3152812,21.8944804
way,473550237,Apel Apartments,apartment,Ниш,Игманска,4,18109,,,http://www.apelapartments.com/,,,,,43.3097584,21.9130126
node,12504544965,Freya SPA & Apartments,apartment,Ниш,Мокрањчева,37,18000,+38118527161,,https://www.freyaspacentar.rs/,freyaspacentar@gmail.com,,,,43.3088256,21.9067202
node,13697702704,Princ,apartment,Ниш,Ивана Милутиновића,28,18000,+38163446561,,https://princ.rs/kontakt/,reservations@princ.rs,,,,43.3213377,21.8784378
node,9535723228,Top rooms,apartment,,,,,+3810601695223,,http://toproomserbia.com/,toproomsnis@hotmail.com,,,,43.3202942,21.895166
way,1189165024,Светлост,appliance,Ниш,Обреновићева,59v,18000,+38118519016,,https://svetlostnis.rs/,,,,Mo-Fr 08:00-20:00; Sa 08:00-16:00,43.3154835,21.8948473
node,8369930243,Историјски архив Ниш,archive,,,,,,,https://www.arhivnis.rs/,,,,,43.3265846,21.8941711
node,12032989710,4 kids,baby_goods,,,,,+38118570075,,https://www.4kids.rs/,shop@4kids.rs,,,Mo-Sa 10:00-21:00,43.3339681,21.9367016
way,473327608,Акса,baby_goods,Ниш,Булевар др Зорана Ђинђића,17v,18000,+38118240923,,https://www.aksa.rs/radnje/7-aksa-nis,,,,Mo-Fr 09:00-21:00; Sa 09:00-20:00; Su 09:00-17:00,43.3193488,21.9088745
node,13683836314,Branković,bakery,Ниш,Рајићева,30,18000,+38118241046,,https://pekara-brankovic.com/,,,,Mo-Sa 06:00-14:00,43.3145611,21.8976028
node,13132460801,Бранковић,bakery,Ниш,Булевар др Зорана Ђинђића,68,18000,+38118517990,,https://pekara-brankovic.com/,,,,Mo-Sa 06:00-14:00; Su 07:00-14:00,43.3202741,21.9018533
node,11341631952,Житопек,bakery,,,,,,,https://zitopek.rs/,,,,Mo-Fr 06:00-16:00; Sa 06:00-13:00,43.3189581,21.9209698
node,13132963927,Житопек,bakery,Ниш,Булевар др Зорана Ђинђића,35,18000,+381608101276,,https://zitopek.rs/,,,,Mo-Fr 06:00-16:00; Sa 06:00-13:00,43.3176649,21.9119861
node,13145880342,Житопек,bakery,Ниш,Вожда Карађорђа,78,18000,+381608101821,,https://zitopek.rs/,,,,Mo-Fr 06:00-16:00; Sa 06:00-13:00,43.3201559,21.9030332
node,13120184479,Калинка,bakery,Ниш,Сремска,13a,18000,+381616653410,,,,,,,43.3175213,21.9182772
node,13112287371,Калинка лукс,bakery,Ниш,Косте Стаменковића,8a,18000,+381637078121,,,,,,Mo-Fr 05:00-16:00; Sa-Su 05:00-14:00,43.3170597,21.8979268
node,3063730916,Пекарица,bakery,Ниш,Књажевачка,72,18000,+381641963677,,,,,,Mo-Fr 06:00-15:00; Sa-Su 06:00-14:00,43.32924,21.9225172
node,13158768847,Пекарица,bakery,Ниш,Париске комуне,1a,18000,+381641963677,,,,,,Mo-Fr 06:00-15:00; Sa-Su 06:00-14:00,43.3207793,21.9169885
node,6806523533,Addiko Bank,bank,,,,,+381800303303,,https://www.addiko.rs,info.rs@addiko.com,https://www.facebook.com/addiko.rs/,https://www.instagram.com/addikobank_srbija/,Mo-Fr 08:30-16:00,43.3166594,21.8948075
node,13569968624,Addiko Bank,bank,,,,,+381800303303,,https://www.addiko.rs,info.rs@addiko.com,https://www.facebook.com/addiko.rs/,https://www.instagram.com/addikobank_srbija/,Mo-Fr 09:00-16:30,43.3183275,21.9105328
node,12343345660,AIK banka,bank,,,,,+381800101015,+381800101172,https://www.aikbank.rs,,,,Mo-Fr 09:00-16:30,43.3210409,21.8948669
node,12343345680,AIK banka,bank,,,,,+381800101172,+381800101307,https://www.aikbank.rs,,strata019@gmail.com,,Mo-Fr 08:00-15:30,43.3215268,21.915308
node,13508640354,AIK banka,bank,,Николе Пашића,42,,+381800101172,,https://www.aikbank.rs/,,,,"Mo,Tu,Th,Fr 08:30-16:00; We 10:00-17:30",43.3187919,21.8927897
way,1190463976,AIK banka,bank,Ниш,Обреновићева,33,18000,+381800101015,,https://www.aikbank.rs,office@eurobank-direktna.rs,https://www.facebook.com/AikBankSrbija,https://www.instagram.com/aikbank.srbija,Mo-Fr 08:30-16:00,43.3178817,21.8948456
node,9163647323,AikBank,bank,,,,,+381800101015,,https://www.aikbank.rs,,https://www.facebook.com/AikBankSrbija,https://www.instagram.com/aikbank.srbija,Mo-Fr 09:00-16:30,43.3292201,21.9121833
